State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Uttarakhand,Almora,Bhaisiachhana,Naini Gunth,751479,Government High School,Naini Gunth,02:16.3,Education ,High School - General,29.65635167,79.92676
Uttarakhand,Almora,Bhaisiachhana,Naini Gunth,751479,Panchayat HQ,Naini Gunth,19:03.7,Transport/Admin,Panchayat Headquarter,29.655705,79.92727667
Uttarakhand,Almora,Bhaisiachhana,Naini Gunth,751479,Post Office,Naini Gunth,44:52.1,Transport/Admin,Bank,29.64908167,79.94526167
Uttarakhand,Pauri,Yamkeshwar,Nakurachi,753049,Panchayat HQ,Nakurachi,06:34.1,Transport/Admin,Panchayat Headquarter,30.0608472,78.43858581
Uttarakhand,Chamoli,Tharali,Nand Goan,755900,Bus Stand,Nand Guaon,11:12.7,Transport/Admin,Bus Stand,30.15177667,79.40785167
Uttarakhand,Chamoli,Tharali,Nand Goan,755900,Bus Stand,Nand Guaon,08:29.5,Transport/Admin,Bus Stand,30.153695,79.40779167
Uttarakhand,Pauri,Ekeshwar,Nagroli,762239,Bus Stand,Nagroli,44:55.6,Transport/Admin,Bus Stand,29.95040644,78.79833414
Uttarakhand,Nainital,Ramnagar,Narsinghpur Arera,763613,Ms Deepak Rawat Packing,Narsinghpur Arera,34:23.7,Agro ,Agro Industry,29.35932437,79.04090011
Uttarakhand,Nainital,Ramnagar,Narsinghpur Arera,763613,Milk Producers Cooperative Society,Narsinghpur Arera,19:54.6,Agro ,Agro Industry,29.35350701,79.0423922
Uttarakhand,Pauri,Pabo,Nau Gaon Malla,767055,Panchayat HQ,Nau Gaon Malla,32:41.6,Transport/Admin,Panchayat Headquarter,30.07192167,78.83835333
Uttarakhand,Tehri,Jaunpur,Nautha,767855,Panchayat Headquarter,Nautha,05:04.5,Transport/Admin,Panchayat Headquarter,30.48661498,78.06779487
Uttarakhand,Pauri,Pauri,Nautiyal Gaon,767864,Sub Center Dadua Devi,Dadua Devi,16:52.9,Medical ,Primary Health Centre,30.133195,78.746925
Uttarakhand,Pauri,Pauri,Nautiyal Gaon,767864,Fodder Bank,Dadua Devi,16:07.5,Medical ,Veterinary Hospital,30.132045,78.74671667
Uttarakhand,Pauri,Pauri,Nautiyal Gaon,767864,Bus Stand,Nautiyal Gaon,58:04.1,Transport/Admin,Bus Stand,30.13126,78.74567333
Uttarakhand,Pauri,Pauri,Nautiyal Gaon,767864,Veterinary Hospital,Dadua Devi,14:28.1,Medical ,Veterinary Hospital,30.131845,78.74652167
Uttarakhand,Pauri,Pauri,Nautiyal Gaon,767864,Fodder Bank,Dadua Devi,15:14.0,Medical ,Veterinary Hospital,30.13217,78.74682667
Uttarakhand,Rudraprayag,Augustmuni,Nawasu,771599,Primary Health Centre,Nawasu,16:04.3,Medical ,Primary Health Centre,30.21809872,78.91570364
Uttarakhand,Rudraprayag,Augustmuni,Nawasu,771599,Panchayat HQ,Nawasu,16:15.1,Transport/Admin,Panchayat Headquarter,30.21004176,78.91664322
Uttarakhand,Rudraprayag,Augustmuni,Nawasu,771599,Govt Inter College,Nawasu,15:52.6,Education ,Higher Secondary School,30.21823991,78.91551578
Uttarakhand,Pauri,Rikhinkhal,Nawemalli,771867,Bus Stand,Nawe Talli,54:25.9,Transport/Admin,Bus Stand,29.69914429,78.93342239
Uttarakhand,Pauri,Rikhinkhal,Nawemalli,771867,Bus Stand,Nawemalli,26:37.7,Transport/Admin,Bus Stand,29.70066167,78.936805
Uttarakhand,Nainital,Dhari,Nawgaon,771901,Panchayat HQ,Nawgaon,34:22.8,Transport/Admin,Panchayat Headquarter,29.46111489,79.69377805
Uttarakhand,Uttarkashi,Dunda,Bandu,89697,Panchayat Headquarter,Bandu,18:02.6,Transport/Admin,Panchayat Headquarter,30.66820379,78.31259839
Uttarakhand,Tehri,Jakhnidhar,Bangdwara,90774,Degree College,Bangwara,02:53.3,Education ,Degree College,30.41054785,78.5156554
Uttarakhand,Almora,Sult,Naikana,751010,Panchayat HQ,Naikana,18:22.3,Transport/Admin,Panchayat Headquarter,29.71899833,79.157595
Uttarakhand,Pauri,Thalisain,Nalaee,753232,Bus Stand,Nalaee,40:24.6,Transport/Admin,Bus Stand,30.1566,78.95673167
Uttarakhand,Pauri,Thalisain,Nalaee,753232,Panchayat HQ,Nalaee,25:57.4,Transport/Admin,Panchayat Headquarter,30.15765667,78.95681833
Uttarakhand,Udham Singh Nagar,Gaderpur,Nandpur,757319,Sub Center Nandpur,Nandpur,50:36.9,Medical ,Primary Health Centre,29.080315,79.24046333
Uttarakhand,Udham Singh Nagar,Gaderpur,Nandpur,757319,Panchayat HQ,Nandpur,13:28.9,Transport/Admin,Panchayat Headquarter,29.08082993,79.24130283
Uttarakhand,Udham Singh Nagar,Gaderpur,Nandpur,757319,Bus Stand,Nandpur,50:06.4,Transport/Admin,Bus Stand,29.07981333,79.23391833
Uttarakhand,Bageshwar,Kapkote,Nankanyalikot,758605,Veterinary Hospital,Nankanyalikot,06:22.8,Medical ,Veterinary Hospital,29.926255,79.77559833
Uttarakhand,Bageshwar,Kapkote,Nankanyalikot,758605,Agro products Storage,Nankanyalikot,40:34.7,Agro ,Warehouse,29.93218167,79.77007667
Uttarakhand,Bageshwar,Kapkote,Nankanyalikot,758605,Panchayat HQ,Nankanyalikot,25:03.1,Transport/Admin,Panchayat Headquarter,29.93430333,79.76736167
Uttarakhand,Bageshwar,Kapkote,Nankanyalikot,758605,Primary Health Centre,Nankanyalikot,40:27.7,Medical ,Primary Health Centre,29.92610667,79.77584833
Uttarakhand,Bageshwar,Kapkote,Nankanyalikot,758605,Uttrakhand Gramin Bank,Nankanyalikot,51:55.1,Transport/Admin,Bank,29.926175,79.77648
Uttarakhand,Bageshwar,Kapkote,Nankanyalikot,758605,Govt Inter College,Nankanyalikot,48:24.0,Education ,Higher Secondary School,29.93020333,79.77124333
Uttarakhand,Bageshwar,Kapkote,Nankanyalikot,758605,Govt Ayurvedic Hospital,Nankanyalikot,58:58.7,Medical ,Primary Health Centre,29.936745,79.76673167
Uttarakhand,Chamoli,Narayan Bagar,Narayan Bagar,760713,Block HQ,Narayan Bagar,26:29.2,Transport/Admin,Block Headquarter,30.14576186,79.37624217
Uttarakhand,Chamoli,Narayan Bagar,Narayan Bagar,760713,Bus Stand,Narayan Bagar,46:42.9,Transport/Admin,Bus Stand,30.14656512,79.37624132
Uttarakhand,Chamoli,Narayan Bagar,Narayan Bagar,760713,High Secondary Uttranchal Vidhya Niketan Narayan Bagar,Narayan Bagar,26:55.7,Education ,Higher Secondary School,30.14601785,79.37636456
Uttarakhand,Chamoli,Narayan Bagar,Narayan Bagar,760713,Govt Girls Inter College Narayan Bagar,Narayan Bagar,20:01.1,Education ,Higher Secondary School,30.14218728,79.37916864
Uttarakhand,Chamoli,Narayan Bagar,Narayan Bagar,760713,Panchayat HQ,Narayan Bagar,03:35.5,Transport/Admin,Panchayat Headquarter,30.14330496,79.37738565
Uttarakhand,Bageshwar,Bageshwar,Nau Gaon,766643,Post Office,Nau Gaon,44:22.2,Transport/Admin,Bank,29.87318878,79.71392865
Uttarakhand,Almora,Dhauladevi,Naugaon,767029,Panchayat Headquarter,Naugaon,17:21.9,Transport/Admin,Panchayat Headquarter,29.56681667,79.80416333
Uttarakhand,Almora,Tarikhet,Nawali,771166,Panchayat HQ,Nawli,47:13.1,Transport/Admin,Panchayat Headquarter,29.58007167,79.434045
Uttarakhand,Udham Singh Nagar,Kahatima,Naugawa Thago,771916,Pisciculture,Naugawa Thago,17:53.9,Agro ,Agro Industry,28.91035943,79.94086726
Uttarakhand,Udham Singh Nagar,Kahatima,Naugawa Thago,771916,Pisciculture,Naugawa Thago,14:33.5,Agro ,Agro Industry,28.90656219,79.94282371
Uttarakhand,Uttarkashi,Mori,Naitwar,751751,Primary Health Centre,Naitwar,49:02.6,Medical ,Primary Health Centre,31.07263971,78.11022341
Uttarakhand,Uttarkashi,Mori,Naitwar,751751,Bank,Naitwar,42:26.9,Transport/Admin,Bank,31.06233768,78.10060434
Uttarakhand,Uttarkashi,Mori,Naitwar,751751,Higher Secondary School,Naitwar,43:24.2,Education ,Higher Secondary School,31.06424552,78.10185039
Uttarakhand,Uttarkashi,Mori,Naitwar,751751,Bank,Naitwar,30:17.3,Transport/Admin,Bank,31.06464555,78.1022114
Uttarakhand,Uttarkashi,Mori,Naitwar,751751,Bank,Naitwar,40:21.0,Transport/Admin,Bank,31.06220118,78.10048289
Uttarakhand,Uttarkashi,Mori,Naitwar,751751,Bus Stand,Naitwar,44:46.8,Transport/Admin,Bus Stand,31.06602949,78.10257325
Uttarakhand,Uttarkashi,Mori,Naitwar,751751,Veterinary Hospital,Naitwar,45:52.7,Medical ,Veterinary Hospital,31.06723338,78.09879133
Uttarakhand,Uttarkashi,Mori,Naitwar,751751,Higher Secondary School,Naitwar,43:52.6,Education ,Higher Secondary School,31.06445327,78.1019607
Uttarakhand,Uttarkashi,Mori,Naitwar,751751,Panchayat Headquarter,Naitwar,46:27.8,Transport/Admin,Panchayat Headquarter,31.06919148,78.09935208
Uttarakhand,Champawat,Lohaghat,Nakot,752837,Panchayat HQ,Nakot,07:15.8,Transport/Admin,Panchayat Headquarter,29.39614331,80.14857435
Uttarakhand,Uttarkashi,Naugaon,Nald,753437,Panchayat Headquarter,Nald,41:28.2,Transport/Admin,Panchayat Headquarter,30.88454094,78.18521988
Uttarakhand,Almora,Sult,Nanankote,755746,Panchayat HQ,Nanakote,27:09.0,Transport/Admin,Panchayat Headquarter,29.65363167,79.22548667
Uttarakhand,Pauri,Ekeshwar,Naugaon Kafol,757967,Bus Stand,Naugaon Kafol,39:22.3,Transport/Admin,Bus Stand,29.95890871,78.76339428
Uttarakhand,Haridwar,Narsan,Naqibpur Ghosipura,759239,Panchayat Headquarter,naqibpur Gohsipur,51:04.2,Transport/Admin,Panchayat Headquarter,29.74942088,77.92573035
Uttarakhand,Bageshwar,Garur,Naughar State,767174,Panchayat HQ,Naughar State,18:07.9,Transport/Admin,Panchayat Headquarter,29.85803667,79.63300667
Uttarakhand,Almora,Bhikiyasain,Naula,767409,Panchayat HQ,Naula,08:12.4,Transport/Admin,Panchayat Headquarter,29.74150259,79.24818238
Uttarakhand,Almora,Bhikiyasain,Naula,767409,Aadhishashi Abhayanta Jal Nigam,Naula,05:28.2,Agro ,Agro Industry,29.73565961,79.25173583
Uttarakhand,Almora,Bhikiyasain,Naula,767409,Veterinary Hospital,Naula,08:43.2,Medical ,Veterinary Hospital,29.74182395,79.24781431
Uttarakhand,Almora,Bhikiyasain,Naula,767409,Gramin Bachat Kendra,Naula,07:54.7,Transport/Admin,Bank,29.74151458,79.2482063
Uttarakhand,Almora,Bhikiyasain,Naula,767409,Post Office,Naula,08:29.8,Transport/Admin,Bank,29.74159678,79.24810549
Uttarakhand,Almora,Bhikiyasain,Naula,767409,Krishi Nivesh Kendra,Naula,08:58.1,Transport/Admin,Bank,29.74247456,79.24739025
Uttarakhand,Almora,Bhikiyasain,Naula,767409,Government Inter College,Naula,05:54.1,Education ,Higher Secondary School,29.73673463,79.25185113
Uttarakhand,Tehri,Narendra Nagar,Naur,767578,Bus Stand,Naur,30:56.8,Transport/Admin,Bus Stand,30.2564335,78.35719719
Uttarakhand,Tehri,Narendra Nagar,Naur,767578,Panchayat Headquarter,naur,01:36.5,Transport/Admin,Panchayat Headquarter,30.25287417,78.35664971
Uttarakhand,Tehri,Bhailgana,Naik Wara,750961,Panchayat Headquarter,Naik Wara,36:39.2,Transport/Admin,Panchayat Headquarter,30.54093167,78.64481833
Uttarakhand,Tehri,Bhailgana,Naik Wara,750961,Bus Stand,Naik Wara,37:44.5,Transport/Admin,Bus Stand,30.54307167,78.64950167
Uttarakhand,Pithoragarh,Kanalichina,Naini,751468,Panchayat  HQ,Naini,17:56.4,Transport/Admin,Panchayat Headquarter,29.69869448,80.24878638
Uttarakhand,Almora,Bhikiyasain,Nainisera,751502,Bus Stand,Nainisera,17:42.3,Transport/Admin,Bus Stand,29.66984141,79.2801364
Uttarakhand,Nainital,Bhimtal,Naisela,751695,Panchayat HQ,Naisela,17:32.8,Transport/Admin,Panchayat Headquarter,29.29947221,79.44712284
Uttarakhand,Nainital,Bhimtal,Naisela,751695,Sub Center Naisela,Naisela,19:14.3,Medical ,Primary Health Centre,29.30183142,79.44952137
Uttarakhand,Nainital,Bhimtal,Naisela,751695,Sub Center Naisela,Naisela,18:14.9,Medical ,Primary Health Centre,29.30183355,79.44953071
Uttarakhand,Nainital,Bhimtal,Naisela,751695,Govt Higher Secondary School Naisela,Naisela,16:37.3,Education ,Higher Secondary School,29.29895361,79.44626246
Uttarakhand,Tehri,Pratap Nagar,Nakot,752833,Panchayat Headquarter,Nakot,35:34.7,Transport/Admin,Panchayat Headquarter,30.45454,78.43646
Uttarakhand,Tehri,Pratap Nagar,Nakot,752833,Bus Stand,Nakot,35:21.3,Transport/Admin,Bus Stand,30.455565,78.43731167
Uttarakhand,Udham Singh Nagar,Sitarganj,Nakulia,753031,Pisciculture,Nakulia,53:36.9,Agro ,Agro Industry,28.98006091,79.72600495
Uttarakhand,Udham Singh Nagar,Sitarganj,Nakulia,753031,Panchayat HQ,Nakulia,56:39.1,Transport/Admin,Panchayat Headquarter,28.97659507,79.719171
Uttarakhand,Udham Singh Nagar,Sitarganj,Nakulia,753031,Warehouse,Nakulia,07:51.8,Agro ,Warehouse,28.96636572,79.71606921
Uttarakhand,Udham Singh Nagar,Sitarganj,Nakulia,753031,Bus Stand,Nakulia,04:05.2,Transport/Admin,Bus Stand,28.97433872,79.71751243
Uttarakhand,Udham Singh Nagar,Sitarganj,Nakulia,753031,Post Office,Nakulia,54:17.7,Transport/Admin,Bank,28.97784594,79.71872805
Uttarakhand,Udham Singh Nagar,Sitarganj,Nakulia,753031,Sub Centre Nakulia,Nakulia,50:01.7,Medical ,Primary Health Centre,28.98026599,79.7256931
Uttarakhand,Pithoragarh,Gangolihat,Nali,753567,Government High School,Nali,55:34.6,Education ,High School - General,29.55772332,80.08066467
Uttarakhand,Pithoragarh,Gangolihat,Nali,753567,Post Office Nali,Nali,25:28.9,Transport/Admin,Bank,29.55794991,80.081329
Uttarakhand,Pithoragarh,Gangolihat,Nali,753567,Panchayat  HQ,Nali,52:53.5,Transport/Admin,Panchayat Headquarter,29.55798251,80.08159908
Uttarakhand,Almora,Tarikhet,Naphar,759183,Post Office Deolikhet,Deolikhet Naphar,10:06.9,Transport/Admin,Bank,29.64208333,79.34559667
Uttarakhand,Almora,Tarikhet,Naphar,759183,Canara Bank Deolikhet,Deolikhet Naphar,54:20.5,Transport/Admin,Bank,29.63994333,79.34566
Uttarakhand,Almora,Tarikhet,Naphar,759183,Government Inter College,Deolikhet Naphar,54:33.6,Education ,Higher Secondary School,29.64007,79.34674667
Uttarakhand,Almora,Tarikhet,Naphar,759183,Panchayat HQ Deolikhet,Deolikhet Naphar,11:46.1,Transport/Admin,Panchayat Headquarter,29.64557,79.34168833
Uttarakhand,Almora,Tarikhet,Naphar,759183,Primary Health Centre,Deolikhet Naphar,09:38.5,Medical ,Primary Health Centre,29.64125167,79.34595333
Uttarakhand,Uttarkashi,Naugaon,Naini,751476,Panchayat Headquarter,Naini,53:36.4,Transport/Admin,Panchayat Headquarter,30.77689667,78.133595
Uttarakhand,Uttarkashi,Naugaon,Naini,751476,Bus Stand,Naini,58:14.7,Transport/Admin,Bus Stand,30.77785667,78.131095
Uttarakhand,Pauri,Kaljikhal,Naithna,751740,Bus Stand,Naithana,38:28.6,Transport/Admin,Bus Stand,30.00972186,78.68851558
Uttarakhand,Pauri,Kaljikhal,Naithna,751740,Panchayat HQ,Naithana,38:08.1,Transport/Admin,Panchayat Headquarter,30.00969791,78.69072713
Uttarakhand,Pithoragarh,Bin,Nakote,752846,Bahu Uddeshiya Primary Agriculture loan Sahakari Samitee (Gorangchaud),Gorangchaud (Nakote),49:41.1,Transport/Admin,Bank,29.60901214,80.17721788
Uttarakhand,Pithoragarh,Bin,Nakote,752846,Government High School,Nakote,18:30.7,Education ,High School - General,29.60834667,80.177445
Uttarakhand,Pithoragarh,Bin,Nakote,752846,Post Office,Nakote,16:55.7,Transport/Admin,Bank,29.60865,80.17660333
Uttarakhand,Pithoragarh,Bin,Nakote,752846,Panchayat  HQ,Nakote,17:44.0,Transport/Admin,Panchayat Headquarter,29.607925,80.17781667
Uttarakhand,Pithoragarh,Bin,Nakote,752846,Government Inter College,Nakote,45:37.2,Education ,Higher Secondary School,29.61314667,80.18039
Uttarakhand,Pithoragarh,Bin,Nakote,752846,SBI,Nakote,27:52.2,Transport/Admin,Bank,29.60830926,80.17765348
Uttarakhand,Pithoragarh,Bin,Nakote,752846,Collection and Distribution Centre,Nakote,46:42.3,Agro ,Collection Centre or Pack House,29.60827833,80.17757833
Uttarakhand,Pithoragarh,Bin,Nakote,752846,Agro products Storage Nakote,Nakote,19:48.9,Agro ,Warehouse,29.60698865,80.17840843
Uttarakhand,Pithoragarh,Bin,Nakote,752846,Primary Health Centre (Nakote),Nakote,12:48.1,Medical ,Primary Health Centre,29.60693425,80.17851588
Uttarakhand,Pauri,Ekeshwar,Nandoli,757241,Bus Stand,Nandoli,31:58.4,Transport/Admin,Bus Stand,29.91506444,78.80797722
Uttarakhand,Almora,Hawalbag,Naugaon,767016,Bus Stand Naugaon Chan,Chan,34:11.6,Transport/Admin,Bus Stand,29.59853833,79.603635
Uttarakhand,Almora,Hawalbag,Naugaon,767016,Panchayat HQ,Chan,31:44.0,Transport/Admin,Panchayat Headquarter,29.59867,79.60375833
Uttarakhand,Pauri,Kot,Nau Gaon,767050,Bus Stand,Nau gaon,55:27.8,Transport/Admin,Bus Stand,30.06423568,78.60315589
Uttarakhand,Pauri,Kot,Nau Gaon,767050,Gramin Bank,Nau gaon,56:09.0,Transport/Admin,Bank,30.06355298,78.6024712
Uttarakhand,Pauri,Kot,Nau Gaon,767050,Government  Homeopathic Hospital,Nau Gaon,04:56.4,Medical ,Primary Health Centre,30.063625,78.60278
Uttarakhand,Pauri,Kot,Nau Gaon,767050,Panchayat  HQ,Nau Gaon,06:53.2,Transport/Admin,Panchayat Headquarter,30.06319167,78.61010167
Uttarakhand,Pauri,Kot,Nawari,771579,Bus  Stand,Nawarj,25:08.6,Transport/Admin,Bus Stand,30.05136167,78.645925
Uttarakhand,Tehri,Jaunpur,Nawaridhar Talogi,771581,Panchayat Headquarter,Nawaridhar,04:38.8,Transport/Admin,Panchayat Headquarter,30.48891096,78.05738011
Uttarakhand,Nainital,Ramgarh,Nayeli,774923,Post Office,Nayeli,17:25.9,Transport/Admin,Bank,29.51111758,79.66368151
Uttarakhand,Nainital,Ramgarh,Nayeli,774923,Panchayat HQ,Nayeli,16:55.2,Transport/Admin,Panchayat Headquarter,29.51209821,79.66465131
Uttarakhand,Pauri,Birokhal,Nagni,748508,Panchayat HQ,Nagni,48:50.7,Transport/Admin,Panchayat Headquarter,29.81438333,79.10869167
Uttarakhand,Almora,Hawalbag,Nainoli,750647,Panchayat HQ,Nainoli,00:39.6,Transport/Admin,Panchayat Headquarter,29.69226833,79.62253333
Uttarakhand,Chamoli,Karanprayag,Naini,751465,Post Office,Naini,09:50.9,Transport/Admin,Bank,30.19689667,79.20496667
Uttarakhand,Chamoli,Karanprayag,Naini,751465,Govt Inter College Naini,Naini,11:22.0,Education ,Higher Secondary School,30.196305,79.20498
Uttarakhand,Chamoli,Karanprayag,Naini,751465,Panchayat HQ,Naini,12:07.0,Transport/Admin,Panchayat Headquarter,30.20187,79.210875
Uttarakhand,Chamoli,Karanprayag,Naini,751465,Sub Centre Naini,Naini,10:33.1,Medical ,Primary Health Centre,30.19645167,79.204755
Uttarakhand,Udham Singh Nagar,Sitarganj,Nakaha,752184,Panchayat HQ,Nakaha,57:07.3,Transport/Admin,Panchayat Headquarter,28.8817549,79.68013185
Uttarakhand,Pauri,Kot,Nakot,752838,Bus Stand,Nakot,55:22.6,Transport/Admin,Bus Stand,30.21943709,78.73607611
Uttarakhand,Pauri,Kot,Nakot,752838,Devbhumi Public School,Nakot,55:35.7,Education ,Higher Secondary School,30.21796158,78.73872404
Uttarakhand,Pauri,Nainidanda,Nalai Malli,753269,Panchayat HQ,Nalai Malli,56:31.9,Transport/Admin,Panchayat Headquarter,29.71901833,79.07470833
Uttarakhand,Pauri,Nainidanda,Nalai Malli,753269,Bus Stand,Nalai Mallai,50:34.2,Transport/Admin,Bus Stand,29.72293667,79.06670333
Uttarakhand,Pauri,Nainidanda,Nalai Malli,753269,Govt Allopathic Hospital,Nalai Malli,55:32.6,Medical ,Primary Health Centre,29.72324667,79.06723167
Uttarakhand,Pauri,Nainidanda,Nalai Malli,753269,Health Sub Centre Nalai Malli,Nalai Malli,53:51.9,Medical ,Primary Health Centre,29.72416667,79.067305
Uttarakhand,Pauri,Nainidanda,Nalai Malli,753269,Poultry Farm,Nalai Malli,49:21.6,Agro ,Agro Industry,29.71792167,79.06746833
Uttarakhand,Udham Singh Nagar,Bazpur,Namoona,755259,Dev Narayan Trivedi Higher Secondary School Azimullah,Namoona,58:13.9,Education ,Higher Secondary School,29.19325273,79.19013768
Uttarakhand,Udham Singh Nagar,Bazpur,Namoona,755259,Chaudhary Flour Mill,Namoona,35:41.3,Agro ,Agro Industry,29.17637651,79.17186134
Uttarakhand,Udham Singh Nagar,Bazpur,Namoona,755259,Durgeshwari Rice Mill,Namoona,39:24.6,Agro ,Agro Industry,29.18766236,79.18966148
Uttarakhand,Udham Singh Nagar,Bazpur,Namoona,755259,Poultry Farm,Namoona,16:44.5,Agro ,Agro Industry,29.19593311,79.19021335
Uttarakhand,Udham Singh Nagar,Bazpur,Namoona,755259,Veterinary Hospital,Namoona,36:40.5,Medical ,Veterinary Hospital,29.18372268,79.18147895
Uttarakhand,Udham Singh Nagar,Bazpur,Namoona,755259,Panchayat HQ,Namoona,42:03.8,Transport/Admin,Panchayat Headquarter,29.19343264,79.18983875
Uttarakhand,Udham Singh Nagar,Bazpur,Namoona,755259,Rice Mill,Namoona,10:30.9,Agro ,Agro Industry,29.1880507,79.18577259
Uttarakhand,Udham Singh Nagar,Bazpur,Namoona,755259,Rice Mill,Namoona,34:24.1,Agro ,Agro Industry,29.17363937,79.16960862
Uttarakhand,Udham Singh Nagar,Bazpur,Namoona,755259,Poultry Farm,Namoona,12:02.3,Agro ,Agro Industry,29.1899005,79.18727782
Uttarakhand,Udham Singh Nagar,Bazpur,Namoona,755259,Govt Inter College Namoona,Namoona,49:34.3,Education ,Higher Secondary School,29.19330686,79.18975894
Uttarakhand,Almora,Takula,Nai Dhaul,750440,Panchayat HQ,Nai,05:40.9,Transport/Admin,Panchayat Headquarter,29.71264544,79.6669618
Uttarakhand,Almora,Takula,Nai Dhaul,750440,G I C Nai,Nai,02:26.6,Education ,Higher Secondary School,29.71274042,79.66717152
Uttarakhand,Tehri,Chamba,Naicholi,750694,Panchayat Headquarter,naicholi,15:31.0,Transport/Admin,Panchayat Headquarter,30.28346333,78.47096333
Uttarakhand,Tehri,Chamba,Naicholi,750694,Bus Stand,Naicholi,10:23.3,Transport/Admin,Bus Stand,30.28548445,78.46894439
Uttarakhand,Tehri,Chamba,Naicholi,750694,High School General,chamba,58:33.5,Education ,High School - General,30.25243,78.4691216
Uttarakhand,Tehri,Chamba,Naicholi,750694,Higher Secondary School,naicholi,18:34.2,Education ,Higher Secondary School,30.28308333,78.47200333
Uttarakhand,Tehri,Chamba,Naicholi,750694,Bank,Naicholi,07:44.9,Transport/Admin,Bank,30.2839089,78.47123844
Uttarakhand,Tehri,Chamba,Naicholi,750694,Bus Stand,Naicholi,09:06.7,Transport/Admin,Bus Stand,30.28364584,78.47105026
Uttarakhand,Tehri,Chamba,Naicholi,750694,Primary Health Centre,naicholi,16:46.1,Medical ,Primary Health Centre,30.28392667,78.47108
Uttarakhand,Tehri,Chamba,Naicholi,750694,Bank,naicholi,16:10.4,Transport/Admin,Bank,30.28355,78.47114833
Uttarakhand,Almora,Bhikiyasain,Naikana,751094,Post Office,Naikana,05:34.8,Transport/Admin,Bank,29.76701,79.263
Uttarakhand,Almora,Bhikiyasain,Naikana,751094,Panchayat HQ,Naikana,11:05.2,Transport/Admin,Panchayat Headquarter,29.76738696,79.26305805
Uttarakhand,Tehri,Narendra Nagar,Nail,751251,Bus Stand,Nail,13:11.6,Transport/Admin,Bus Stand,30.22208953,78.5158881
Uttarakhand,Tehri,Chamba,Nakot,752830,Primary Health Centre,nakot,37:34.5,Medical ,Primary Health Centre,30.31656167,78.467335
Uttarakhand,Tehri,Chamba,Nakot,752830,Veterinary Hospital,Nakot,39:47.9,Medical ,Veterinary Hospital,30.32020498,78.46462327
Uttarakhand,Tehri,Chamba,Nakot,752830,Higher Secondary School,nakot,48:12.0,Education ,Higher Secondary School,30.31689167,78.46836833
Uttarakhand,Tehri,Chamba,Nakot,752830,Bank,Nakot,29:54.6,Transport/Admin,Bank,30.31695799,78.46753984
Uttarakhand,Tehri,Chamba,Nakot,752830,Bank,nakot,46:11.1,Transport/Admin,Bank,30.31726,78.46788667
Uttarakhand,Tehri,Chamba,Nakot,752830,ITI,Nakot,46:10.5,Education ,ITI,30.31990004,78.46457868
Uttarakhand,Almora,Dhauladevi,Nakot,752848,pnchayat headquater 1,nakot,20:21.1,Transport/Admin,Panchayat Headquarter,29.60273936,79.78229981
Uttarakhand,Almora,Dhauladevi,Nakot,752848,pnchayat headquater,nakot,40:24.0,Transport/Admin,Panchayat Headquarter,29.60273936,79.78229981
Uttarakhand,Bageshwar,Bageshwar,Okhalisirod,765691,Panchayat HQ,Okhalisirod,51:34.9,Transport/Admin,Panchayat Headquarter,29.741445,79.74862
Uttarakhand,Bageshwar,Bageshwar,Okhalisirod,765691,Post Office Okhalisirod,Okhalisirod,44:51.4,Transport/Admin,Bank,29.741075,79.74857167
Uttarakhand,Pauri,Dugada,Nau Gaon,766645,Panchayat HQ,Naugaon,03:06.7,Transport/Admin,Panchayat Headquarter,29.84462503,78.64768262
Uttarakhand,Nainital,Haldwani,Nayagaon Mehra,773754,Govt Higher Secondary School Nayagaon,Nayagaon Mehra,31:33.6,Education ,Higher Secondary School,29.18601393,79.58115908
Uttarakhand,Champawat,Champawat,Naik Goonth_Naik Khera,750944,Panchayat HQ,naik goonth,06:31.6,Transport/Admin,Panchayat Headquarter,29.07929667,80.10936667
Uttarakhand,Champawat,Champawat,Naik Goonth_Naik Khera,750944,packing house,naik goonth,05:06.5,Agro ,Collection Centre or Pack House,29.08537,80.10480833
Uttarakhand,Champawat,Champawat,Naik Goonth_Naik Khera,750944,Govt Polytechnic Tankpur,naik goonth,05:33.1,Education ,ITI,29.08498667,80.11239
Uttarakhand,Chamoli,Narayan Bagar,Nail,751237,Panchayat HQ,Nail,00:26.7,Transport/Admin,Panchayat Headquarter,30.07861,79.46260667
Uttarakhand,Pauri,Kaljikhal,Nansu,755781,Govt Ayurvedic Hospital Pipalpani,Nansu,17:43.5,Medical ,Primary Health Centre,30.01366399,78.79219119
Uttarakhand,Pauri,Kaljikhal,Nansu,755781,Panchayat HQ,Nansu,33:25.5,Transport/Admin,Panchayat Headquarter,30.012685,78.79157667
Uttarakhand,Pauri,Kaljikhal,Nansu,755781,Laghu Sangrahan Kendra,Nansu,16:45.7,Agro ,Collection Centre or Pack House,30.01279615,78.79161828
Uttarakhand,Pauri,Kaljikhal,Nansu,755781,Bus Stand,Nansu,17:02.2,Transport/Admin,Bus Stand,30.01292498,78.79243307
Uttarakhand,Tehri,Devprayag,Nandoli,757235,Panchayat Headquarter,Nandoli,25:31.0,Transport/Admin,Panchayat Headquarter,30.26333064,78.55299997
